ano,estado,municipio,pcu,tipo_vivienda,viviendas,clave_municipio,clave_estado
2015,México,San Mateo Atenco,U2,Horizontal,35,076,15
2015,Aguascalientes,Calvillo,U1,Horizontal,5,003,01
2015,Tlaxcala,La Magdalena Tlaltelulco,U2,Horizontal,6,048,29
2016,Tamaulipas,Matamoros,U2,Horizontal,661,022,28
2015,Tabasco,Centro,U2,Horizontal,14,004,27
2016,Aguascalientes,Calvillo,U2,Horizontal,9,003,01
2016,Jalisco,Tonalá,U3,Vertical,60,101,14
2016,Oaxaca,San Pedro Ixtlahuaca,FC,Horizontal,2,310,20
2017,Jalisco,Zapopan,FC,Horizontal,1109,120,14
2015,Veracruz de Ignacio de la Llave,Xalapa,U2,Horizontal,31,087,30
2016,Michoacán de Ocampo,Apatzingán,U3,Horizontal,54,006,16
2017,Oaxaca,San Juan Bautista Tuxtepec,U2,Horizontal,60,184,20
2017,Querétaro,El Marqués,U3,Horizontal,324,011,22
2017,Guanajuato,Irapuato,FC,Horizontal,707,017,11
2015,Jalisco,Juanacatlán,FC,Horizontal,95,051,14
2016,Sonora,San Luis Río Colorado,U3,Horizontal,32,055,26
2017,Coahuila de Zaragoza,Múzquiz,U2,Horizontal,32,020,05
2016,Puebla,Puebla,FC,Horizontal,491,114,21
2016,México,Toluca,U3,Horizontal,4,106,15
2016,Guanajuato,Irapuato,U3,Horizontal,595,017,11
2017,Michoacán de Ocampo,Uruapan,U1,Horizontal,4,102,16
2016,Querétaro,San Juan del Río,FC,Vertical,76,016,22
2016,Jalisco,Encarnación de Díaz,U3,Horizontal,1,035,14
2016,San Luis Potosí,San Luis Potosí,U1,Vertical,73,028,24
2016,México,Lerma,U3,Horizontal,171,051,15
2016,Sinaloa,Ahome,U2,Horizontal,1601,001,25
2017,Chiapas,San Cristóbal de las Casas,U1,Horizontal,1,078,07
2017,Sinaloa,Culiacán,U2,Horizontal,1192,006,25
2017,Puebla,San Andrés Cholula,U1,Horizontal,5,119,21
2016,Jalisco,Zapopan,U3,Horizontal,866,120,14
2015,Jalisco,Puerto Vallarta,FC,Vertical,648,067,14
2016,Yucatán,Umán,U3,Vertical,64,101,31
2016,Puebla,San Martín Texmelucan,U3,Horizontal,14,132,21
2016,Hidalgo,Tula de Allende,U3,Horizontal,5,076,13
2016,Puebla,Teziutlán,U2,Horizontal,32,174,21
2017,Puebla,Tehuacán,U2,Horizontal,184,156,21
2015,Baja California,Tijuana,U1,Horizontal,475,004,02
2017,Sonora,Hermosillo,U1,Horizontal,8,030,26
