ano,estado,municipio,pcu,tipo_vivienda,viviendas,clave_municipio,clave_estado
2016,Coahuila de Zaragoza,Arteaga,U2,Horizontal,35,004,05
2016,México,Zumpango,U3,Horizontal,594,120,15
2017,Jalisco,Ixtlahuacán de los Membrillos,U3,Vertical,30,044,14
2016,Guanajuato,Irapuato,U3,Vertical,424,017,11
2016,Michoacán de Ocampo,Morelia,U2,Horizontal,1091,053,16
2015,Puebla,Cuautlancingo,U1,Vertical,461,041,21
2015,Jalisco,Magdalena,U2,Horizontal,14,055,14
2015,Hidalgo,Mineral de la Reforma,U3,Horizontal,372,051,13
2016,Querétaro,El Marqués,U3,Horizontal,345,011,22
2015,San Luis Potosí,Soledad de Graciano Sánchez,U2,Horizontal,1939,035,24
2015,Durango,Poanas,FC,Horizontal,6,022,10
2015,Tlaxcala,Yauhquemehcan,U2,Vertical,15,043,29
2016,Veracruz de Ignacio de la Llave,Banderilla,U1,Horizontal,4,026,30
2015,México,Toluca,FC,Horizontal,24,106,15
2015,Jalisco,El Salto,U1,Vertical,19,070,14
2016,Quintana Roo,Solidaridad,U3,Horizontal,366,008,23
2016,Oaxaca,Oaxaca de Juárez,U1,Horizontal,3,067,20
2015,México,Tecámac,U2,Horizontal,1411,081,15
2017,Coahuila de Zaragoza,Matamoros,U2,Horizontal,138,017,05
2017,Michoacán de Ocampo,Tarímbaro,U3,Vertical,76,088,16
2017,Tabasco,Centro,FC,Vertical,880,004,27
2016,Baja California,Tijuana,FC,Vertical,1632,004,02
2017,Veracruz de Ignacio de la Llave,Xalapa,U1,Vertical,13,087,30
2016,Nuevo León,Sabinas Hidalgo,U3,Horizontal,51,044,19
2016,Guerrero,Acapulco de Juárez,U1,Vertical,222,001,12
2016,Guanajuato,Pénjamo,U2,Horizontal,52,023,11
2017,Coahuila de Zaragoza,Acuña,U3,Horizontal,166,002,05
2015,Tamaulipas,Altamira,U3,Vertical,456,003,28
2015,Tamaulipas,Ciudad Madero,U1,Horizontal,22,009,28
2015,Hidalgo,Mineral de la Reforma,FC,Horizontal,554,051,13
2016,Morelos,Temixco,U2,Vertical,64,018,17
2016,Guanajuato,León,U3,Horizontal,587,020,11
2016,Sinaloa,Guasave,U2,Horizontal,306,011,25
2016,Guanajuato,Silao de la Victoria,U3,Horizontal,58,037,11
2017,Baja California Sur,Los Cabos,U3,Vertical,52,008,03
2017,Michoacán de Ocampo,Zamora,U2,Vertical,104,108,16
2016,Jalisco,El Grullo,FC,Horizontal,2,037,14
2017,Sinaloa,Culiacán,FC,Vertical,5,006,25
2016,Aguascalientes,Jesús María,U2,Vertical,10,005,01
2015,Nuevo León,Linares,U3,Horizontal,40,033,19
2016,Querétaro,San Juan del Río,U2,Horizontal,748,016,22
2017,Guanajuato,San Felipe,U2,Horizontal,60,030,11
2017,Baja California,Tijuana,U1,Horizontal,101,004,02
2017,Sinaloa,Ahome,U3,Horizontal,493,001,25
2015,Nayarit,Bahía de Banderas,U2,Horizontal,841,020,18
2015,Ciudad de México,Miguel Hidalgo,U2,Vertical,1,016,09
2017,Michoacán de Ocampo,Zitácuaro,U2,Horizontal,14,112,16
2017,Querétaro,Querétaro,U2,Horizontal,1506,014,22
2017,Baja California,Ensenada,U1,Horizontal,6,001,02
2015,Durango,Santiago Papasquiaro,U2,Horizontal,10,032,10
2015,Nayarit,Xalisco,U2,Horizontal,11,008,18
2015,Hidalgo,Mineral de la Reforma,FC,Vertical,144,051,13
2017,Nayarit,Tepic,U2,Horizontal,165,017,18
2017,Nuevo León,Linares,U3,Horizontal,107,033,19
2017,Quintana Roo,Benito Juárez,U2,Horizontal,1425,005,23
2015,Puebla,Izúcar de Matamoros,U2,Horizontal,15,085,21
2016,San Luis Potosí,Tamuín,U1,Horizontal,2,040,24
2015,México,Lerma,U2,Horizontal,254,051,15
2016,Yucatán,Mérida,FC,Horizontal,5,050,31
2015,Querétaro,El Marqués,U2,Horizontal,2845,011,22
2016,Yucatán,Mérida,U3,Horizontal,948,050,31
2017,Jalisco,Zapotlán el Grande,U1,Horizontal,92,023,14
2015,Baja California Sur,Los Cabos,U3,Vertical,48,008,03
2016,Aguascalientes,Jesús María,U3,Horizontal,258,005,01
2017,Morelos,Yautepec,U2,Horizontal,79,029,17
2015,Nuevo León,García,U2,Vertical,570,018,19
2017,México,Huehuetoca,U2,Vertical,459,035,15
2016,Hidalgo,Tizayuca,U3,Vertical,47,069,13
2016,Michoacán de Ocampo,Morelia,U3,Horizontal,71,053,16
2016,México,Tecámac,FC,Horizontal,1,081,15
2015,Puebla,Tehuacán,U1,Vertical,29,156,21
2017,Michoacán de Ocampo,Jiquilpan,U3,Horizontal,32,045,16
2017,Colima,Villa de Álvarez,U3,Vertical,14,010,06
2015,Michoacán de Ocampo,Uruapan,U2,Vertical,19,102,16
2015,Baja California Sur,Los Cabos,U3,Horizontal,13,008,03
2016,Hidalgo,Tepeapulco,U1,Horizontal,9,061,13
2017,Nayarit,Bahía de Banderas,U3,Vertical,364,020,18
2016,Tamaulipas,Valle Hermoso,U1,Horizontal,30,040,28
2016,Puebla,Cuautlancingo,U2,Vertical,144,041,21
2015,Yucatán,Valladolid,FC,Horizontal,1,102,31
2017,Michoacán de Ocampo,Ario,U2,Horizontal,1,009,16
2017,Tabasco,Nacajuca,U3,Horizontal,32,013,27
2017,Baja California Sur,La Paz,U1,Horizontal,32,003,03
2015,Morelos,Cuernavaca,U2,Horizontal,1,007,17
2015,Tabasco,Centro,U1,Horizontal,1,004,27
2015,Querétaro,Tequisquiapan,U3,Horizontal,236,017,22
2017,Durango,Santiago Papasquiaro,U2,Horizontal,14,032,10
2015,Querétaro,Tequisquiapan,FC,Horizontal,8,017,22
2015,Zacatecas,Fresnillo,U1,Horizontal,68,010,32
